"indic_ur,cities\time","2019 ","2018 ","2017 ","2016 ","2015 ","2014 ","2013 ","2012 ","2011 ","2010 ","2009 ","2008 ","2007 ","2006 ","2005 ","2004 ","2003 ","2002 ","2001 ","2000 ","1999 ","1998 ","1997 ","1996 ","1995 ","1994 ","1993 ","1992 ","1991 ","1990 "
"EN2033I,TR005L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR006L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR007L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR008L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR009L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR010L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR011L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR012L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR013L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR014L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR015L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR016L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR017L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR018L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR019L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR020L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR021L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR022L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR023L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR024L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR025L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,TR026L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,": "
"EN2033I,UK001L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK002L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK003L2",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: de,: de,: de,: de,: de,: de,: de,: de,": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",: e,": "
"EN2033I,UK004L1",": ",": ",": ",": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK006L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK007L1",": ",": ",": ",": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK008L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK009L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK010L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK011L2",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK012L2",": ",": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK013L2",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK014L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK016L1",": ",": ",": ",": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK017L2",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK018L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK019L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,": ",: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK023L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK024L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK025L3",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,: d,: d,: d,: d,: d,: d,: d,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK026L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,: de,: de,: de,: de,: de,: de,: de,: de,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK027L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK029L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK033L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK050L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK056L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK515L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK516L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK517L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK518L1",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK520L2",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK528L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK539L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK546L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK552L0",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK553L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK557L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK558L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK559L2",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK560L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK562L2",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK566L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK568L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK569L2",": ",": ",: b,": ",: b,: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2033I,UK571L1",": ",": ",: b,": ",": ",: e,: e,: be,: bd,: be,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG001L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG002L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG003L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG004L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG005L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG006L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG007L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG008L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG009L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG010L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG011L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG013L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG014L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG015L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG016L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG017L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,BG018L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH",": ",": ",": ",": ",": ",": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH001L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH002L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH002T2",": ",": ",": ",": ",": ",": ",: b,: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH003L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH003T2",": ",": ",": ",": ",": ",": ",: b,: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH004L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH005L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH006L1",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH007L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH008L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH009L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CH010L1",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CY001L2",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": "
"EN2035I,CZ",": ",": ",": ",": ",: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ001L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ002L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ003L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ004L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ005L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ006L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ007L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ008L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ009L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ010L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ011L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ013L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ014L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ016L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,CZ018L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,DE021L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EE",": ",": ",": ",: b,": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,": ",: e,: e,: e,: e,: e,: e,: e,: e,: e,": "
"EN2035I,EE001L1",": ",": ",": ",: b,": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,": ",: e,: e,: e,: e,": ",": ",": ",": ",: e,": "
"EN2035I,EE002L1",": ",: b,": ",: b,": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,": ",: e,: e,: e,: e,": ",": ",": ",": ",: e,": "
"EN2035I,EL",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL001L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL002L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL003L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL004L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL005L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL006L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL007L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL008L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,EL009L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,ES",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,ES001L3",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2035I,ES002L2",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
